ID;CODE_GENDER;FLAG_OW0_CAR;FLAG_OW0_REALT1;CNT_CHILDREN;AMT_INCOME_TOTAL;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;DAYS_BIRTH;DAYS_EMPLOYED;FLAG_MOBIL;FLAG_WORK_PHONE;FLAG_PHONE;FLAG_EMAIL;JOB;BEGIN_MONTHS;STATUS;TARGET
31054;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;14;5;0
31200;1;1;1;1;1;4;3;1;38;0;1;0;1;0;9;26;5;0
31266;0;1;1;0;1;4;1;1;48;8;1;0;0;0;4;14;2;0
31291;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;20;5;0
31537;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;1;5;0
32619;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;18;5;0
32630;1;0;1;1;3;4;0;1;28;2;1;0;0;0;0;23;5;0
32898;0;0;0;0;1;1;0;1;41;6;1;0;0;0;2;27;2;0
32951;1;1;0;1;1;1;1;1;43;1;1;1;0;0;9;6;4;0
33026;0;1;1;0;1;1;1;1;62;2;1;0;1;1;12;36;2;0
33323;0;1;0;0;1;4;0;3;31;1;1;0;1;1;5;35;4;0
33333;0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;10;5;0
33337;1;1;1;0;1;4;1;1;30;4;1;1;0;0;8;53;2;0
33704;0;1;1;0;1;1;1;1;51;2;1;1;1;0;2;53;5;0
35080;1;0;1;0;1;4;1;1;43;2;1;0;0;0;2;38;5;0
35376;1;0;1;1;3;4;0;1;28;2;1;0;0;0;0;15;5;0
35617;0;1;0;0;1;1;0;1;55;4;1;0;0;0;4;22;5;0
35712;1;0;0;1;1;4;1;1;31;10;1;0;0;0;2;43;2;0
35749;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;36;4;0
36023;0;1;0;1;1;1;1;1;26;2;1;0;0;0;2;14;5;0
36344;0;1;1;0;1;1;1;1;49;9;1;0;0;0;4;9;4;0
36358;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;41;5;0
37227;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;39;4;0
37302;1;0;1;1;3;4;0;1;28;2;1;0;0;0;0;21;4;0
37613;0;1;1;1;2;1;0;1;49;1;1;0;1;1;3;2;5;0
37767;0;1;0;0;2;4;0;1;38;10;1;1;1;0;2;29;2;0
38093;0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;19;5;0
38097;0;1;1;0;2;4;1;1;57;2;1;0;0;0;4;0;5;0
38121;0;1;1;1;2;1;1;1;49;1;1;0;1;1;3;1;5;0
38154;0;0;1;1;1;1;0;1;35;0;1;0;0;0;2;44;3;0
39184;1;1;1;0;1;4;0;1;30;4;1;1;0;0;8;41;2;0
39190;1;0;1;1;1;1;1;1;34;3;1;1;1;0;9;38;5;0
39612;1;0;1;0;1;1;3;1;38;2;1;0;0;0;3;34;2;0
39655;1;0;0;0;1;1;0;1;51;10;1;0;0;0;2;0;5;0
39731;0;1;1;1;2;1;1;1;45;12;1;0;1;0;2;40;2;0
40115;0;0;0;1;1;1;1;3;41;18;1;0;0;0;3;31;5;0
40234;1;1;1;1;1;4;3;1;38;0;1;0;1;0;9;22;5;0
41160;0;1;1;0;1;4;1;1;34;14;1;0;0;1;2;0;5;0
41570;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;35;5;0
41577;1;0;1;1;1;1;1;1;34;3;1;1;1;0;9;39;4;0
42306;0;0;1;0;1;1;1;1;48;3;1;0;0;0;2;14;4;0
42646;1;0;1;0;1;4;1;1;33;3;1;0;1;1;10;8;5;0
42949;1;0;1;1;3;4;0;1;28;2;1;0;0;0;0;11;5;0
43022;1;1;0;1;1;1;1;1;43;1;1;1;0;0;9;5;5;0
43655;0;1;0;1;1;1;1;1;26;2;1;0;0;0;2;17;5;0
43659;1;0;0;0;1;4;1;1;29;3;1;1;1;1;8;19;2;0
43703;1;0;1;0;1;1;1;1;28;1;1;0;0;1;17;10;2;0
43925;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;6;5;0
44586;0;1;1;0;2;4;1;1;57;2;1;0;0;0;4;4;5;0
44711;1;0;0;0;1;1;1;1;45;1;1;1;0;0;0;41;2;0
44779;0;0;0;0;2;1;0;3;25;1;1;0;0;0;9;3;4;0
44878;1;1;0;0;1;4;1;1;55;6;1;1;1;0;8;12;5;0
45003;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;26;5;0
45191;1;1;0;0;1;4;1;1;55;6;1;1;1;0;8;10;5;0
45383;1;0;1;0;2;1;1;1;51;8;1;0;0;0;5;11;5;0
46079;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;3;5;0
46106;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;42;5;0
46164;1;1;1;0;1;4;0;1;30;4;1;1;0;0;8;40;3;0
46371;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;13;5;0
46571;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;12;5;0
46759;1;0;0;2;1;1;1;1;39;13;1;0;0;0;5;22;4;0
46991;1;0;1;1;1;4;1;1;42;11;1;0;0;0;3;23;5;0
47058;1;0;1;2;1;4;1;1;37;15;1;0;1;0;3;7;5;0
47549;1;1;1;0;1;4;1;1;30;4;1;1;0;0;8;12;2;0
48544;0;0;1;0;1;1;1;1;46;0;1;0;0;0;2;25;5;0
48938;1;0;1;1;3;4;0;1;28;2;1;0;0;0;0;14;5;0
49093;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;6;5;0
49994;0;1;0;1;1;1;1;1;26;2;1;0;0;0;2;18;5;0
51192;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;17;5;0
51663;0;0;0;0;2;1;0;3;25;1;1;0;0;0;9;9;2;0
51831;1;0;1;1;1;3;1;3;29;0;1;1;1;0;3;15;4;0
52261;0;1;0;1;2;4;1;1;26;1;1;0;1;1;3;27;5;0
52265;1;1;0;1;1;1;1;1;43;1;1;1;0;0;9;3;5;0
52560;0;1;1;0;1;1;1;1;49;9;1;0;0;0;4;11;2;0
52622;0;0;1;0;2;1;1;1;30;9;1;0;0;0;5;12;3;0
52824;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;15;5;0
52856;0;1;1;0;1;4;1;1;34;14;1;0;0;1;2;6;5;0
52892;0;1;1;0;1;4;0;1;39;2;1;1;0;0;0;20;2;0
53439;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;26;5;0
53829;0;0;1;0;1;1;1;1;48;3;1;0;0;0;2;0;5;0
54004;0;1;1;0;1;4;1;1;48;8;1;0;0;0;4;3;2;0
54593;1;0;0;0;1;1;1;1;41;6;1;0;1;0;0;12;4;0
54892;0;1;1;0;1;1;1;1;51;2;1;1;1;0;2;16;5;0
54937;0;0;0;0;1;1;2;1;38;0;1;1;0;0;12;4;2;0
55501;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;42;5;0
56037;1;0;1;0;1;4;0;1;51;6;1;0;0;0;9;1;5;0
56944;1;1;0;2;1;1;1;1;30;8;1;1;0;0;9;48;2;0
56996;1;0;1;0;1;4;1;1;33;3;1;0;1;1;10;15;5;0
57157;1;0;1;2;2;1;1;1;33;1;1;0;0;0;3;23;2;0
57305;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;40;5;0
57704;0;0;0;0;1;4;1;1;36;8;1;1;0;0;0;27;2;0
57977;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;4;5;0
58278;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;4;5;0
58739;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;38;5;0
59073;0;0;0;0;1;1;4;3;53;0;1;0;0;0;16;1;5;0
59169;0;0;1;2;1;1;1;1;34;4;1;0;0;0;3;41;2;0
59300;0;1;0;1;2;4;1;1;26;1;1;0;1;1;3;2;5;0
59742;0;0;0;1;1;4;1;5;40;7;1;0;0;0;3;14;3;0
59778;1;0;1;0;1;4;1;1;33;3;1;0;1;1;10;12;4;0
60031;1;1;1;0;1;1;0;1;33;3;1;0;1;0;5;21;2;0
60039;1;0;0;0;1;1;4;4;54;1;1;0;0;0;3;24;3;0
60172;1;0;1;0;2;1;1;1;51;8;1;0;0;0;5;5;5;0
60352;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;44;5;0
60386;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;10;5;0
60862;0;1;0;2;2;1;1;1;42;7;1;0;1;0;2;3;2;0
60874;0;1;0;0;1;1;0;1;29;0;1;0;1;0;2;9;2;0
61051;1;0;0;0;1;1;0;1;51;10;1;0;0;0;2;15;3;0
61184;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;11;5;0
61743;1;0;1;0;1;0;0;2;32;13;1;0;0;0;13;13;2;0
62056;1;0;1;0;1;1;1;1;49;2;1;0;1;0;2;35;4;0
62173;1;0;0;0;1;1;1;1;52;9;1;1;0;0;2;32;5;0
62211;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;0;5;0
62388;0;1;1;0;1;1;1;1;49;9;1;0;0;0;4;9;4;0
62906;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;23;5;0
63204;0;1;0;1;1;1;1;1;26;2;1;0;0;0;2;10;5;0
63400;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;40;4;0
63585;0;0;0;0;1;4;1;1;36;8;1;1;0;0;0;26;2;0
63821;1;0;1;0;1;1;4;1;52;5;1;0;0;0;9;18;2;0
63957;1;0;1;0;1;1;1;1;33;0;1;0;0;0;3;5;2;0
64130;1;0;1;0;1;4;3;1;51;1;1;0;1;0;3;48;5;0
64219;0;1;0;1;2;4;1;1;26;1;1;0;1;1;3;47;5;0
64459;0;0;1;0;1;3;0;1;31;0;1;0;0;1;9;5;2;0
65149;1;0;1;0;1;4;3;1;51;1;1;0;1;0;3;22;3;0
65731;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;21;5;0
66257;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;4;5;0
66356;0;1;1;2;2;4;1;1;48;11;1;1;1;0;0;28;5;0
66516;1;1;0;0;1;4;1;1;40;4;1;1;0;1;3;40;3;0
66620;1;0;1;0;1;4;1;1;33;3;1;0;1;1;10;16;5;0
66771;0;1;1;2;2;4;1;1;48;11;1;1;1;0;0;32;5;0
68442;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;18;5;0
68614;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;48;5;0
69005;0;0;1;2;1;1;1;1;34;4;1;0;0;0;3;33;2;0
69313;1;0;1;2;1;1;1;1;32;7;1;1;1;0;10;4;3;0
69391;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;34;5;0
69510;0;1;1;0;1;4;0;1;39;2;1;1;0;0;0;13;5;0
70191;0;1;1;0;1;1;2;1;32;4;1;0;0;1;2;42;5;0
70198;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;25;5;0
70409;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;21;5;0
70469;1;1;0;1;1;4;1;2;26;7;1;0;0;0;2;38;5;0
70510;0;1;0;1;1;4;1;0;34;10;1;1;0;0;5;21;2;0
70807;0;1;0;0;1;1;1;5;47;2;1;0;0;0;16;14;2;0
71097;1;0;1;0;1;1;1;1;55;4;1;0;0;0;16;32;4;0
71361;0;1;0;0;1;1;0;1;44;1;1;0;0;0;2;12;5;0
71487;0;1;1;0;1;1;1;1;51;2;1;1;1;0;2;51;5;0
71689;1;0;1;1;1;4;1;1;42;11;1;0;0;0;3;12;5;0
71700;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;13;5;0
71822;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;10;2;0
71845;1;1;1;0;1;1;1;1;51;5;1;1;0;0;0;4;5;0
71885;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;25;5;0
72947;1;1;1;0;1;1;2;1;49;25;1;0;0;0;10;2;3;0
73436;0;1;0;0;1;1;1;5;47;2;1;0;0;0;16;8;5;0
73461;1;0;1;0;2;1;1;1;51;8;1;0;0;0;5;6;4;0
73583;0;1;0;0;1;1;1;0;37;3;1;0;0;0;2;3;5;0
74935;1;0;1;1;1;3;1;3;29;0;1;1;1;0;3;26;2;0
75306;0;0;1;0;2;1;1;1;30;9;1;0;0;0;5;9;4;0
75363;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;35;5;0
75843;1;0;1;1;1;3;1;1;29;3;1;0;1;0;9;13;5;0
76204;1;1;0;0;1;1;3;1;48;28;1;1;1;0;10;0;5;0
76503;0;1;1;2;2;4;1;1;48;11;1;1;1;0;0;40;5;0
76574;1;0;1;0;1;1;0;1;48;1;1;0;0;0;3;36;2;0
77296;0;0;1;0;2;1;1;1;30;9;1;0;0;0;5;3;5;0
77353;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;35;5;0
77423;0;1;1;0;1;1;1;1;52;3;1;0;1;0;2;14;5;0
77992;0;0;0;0;2;1;0;3;25;1;1;0;0;0;9;6;4;0
78034;0;1;1;0;1;1;1;1;51;2;1;1;1;0;2;6;5;0
78269;1;0;0;1;1;1;1;1;27;1;1;1;0;0;15;1;2;0
78899;1;0;0;0;1;1;4;1;49;0;1;0;0;0;13;17;2;0
79015;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;7;5;0
79053;1;1;0;1;1;4;1;1;44;1;1;1;0;0;9;36;2;0
79166;1;0;1;1;1;4;1;1;42;11;1;0;0;0;3;34;5;0
79318;0;1;0;1;2;1;1;1;40;3;1;0;1;0;0;4;5;0
79986;0;0;0;1;1;1;1;1;29;2;1;1;1;0;2;11;3;0
80025;1;1;1;0;1;1;0;1;36;7;1;0;0;0;2;24;2;0
80137;0;0;0;0;1;1;1;1;50;19;1;1;0;0;2;5;4;0
80242;0;1;1;0;1;1;0;1;27;0;1;0;0;1;0;37;5;0
80396;1;1;1;0;1;1;1;1;51;5;1;1;0;0;0;7;5;0
80399;0;0;1;0;1;4;0;1;28;2;1;0;0;0;9;41;2;0
80632;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;0;5;0
81063;0;1;1;0;1;4;1;1;34;14;1;0;0;1;2;9;5;0
81106;0;1;0;0;1;1;1;1;27;6;1;0;0;0;4;0;2;0
81180;1;0;1;0;1;4;1;1;33;3;1;0;1;1;10;10;5;0
81653;1;1;0;0;1;1;3;1;48;28;1;1;1;0;10;7;4;0
81696;1;0;1;0;2;1;1;1;51;8;1;0;0;0;5;17;5;0
81770;0;0;0;1;1;1;0;1;35;0;1;0;0;0;2;43;4;0
82031;1;1;0;0;1;4;1;1;55;6;1;1;1;0;8;9;5;0
82088;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;8;5;0
82734;0;0;1;0;1;1;1;1;48;3;1;0;0;0;2;15;3;0
82756;1;0;1;0;1;4;1;1;60;1;1;0;0;1;0;8;2;0
82973;1;1;1;0;1;1;1;1;51;5;1;1;0;0;0;10;5;0
83156;0;0;0;0;1;1;0;0;27;0;1;1;0;0;4;26;2;0
83391;1;0;1;2;1;1;1;1;32;7;1;1;1;0;10;5;2;0
83659;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;23;5;0
84071;0;0;1;0;2;4;0;1;28;1;1;0;0;1;2;26;4;0
84138;1;0;0;0;1;1;0;1;51;10;1;0;0;0;2;3;5;0
84488;1;1;1;0;1;1;1;1;27;3;1;0;0;0;10;25;2;0
84549;1;0;1;0;1;1;1;1;28;1;1;0;0;1;17;0;2;0
84833;0;1;1;2;2;4;1;1;48;11;1;1;1;0;0;27;5;0
85263;0;0;1;0;1;1;1;1;41;1;1;1;1;0;2;36;2;0
85635;1;1;0;0;1;1;3;1;48;28;1;1;1;0;10;1;5;0
85885;1;0;0;0;1;1;4;4;54;1;1;0;0;0;3;35;5;0
86250;0;1;1;0;2;4;1;1;57;2;1;0;0;0;4;9;2;0
86770;1;0;1;1;1;4;1;1;42;11;1;0;0;0;3;32;5;0
87537;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;33;5;0
87861;1;0;1;0;1;4;3;1;51;1;1;0;1;0;3;23;2;0
88245;1;0;1;1;1;1;1;1;35;10;1;1;1;0;2;7;5;0
89451;1;0;1;1;3;4;0;1;28;2;1;0;0;0;0;20;5;0
89660;1;0;0;0;1;1;4;1;43;1;1;1;1;0;2;38;2;0
90102;0;1;1;0;2;4;1;1;51;3;1;0;0;0;0;8;5;0
90448;1;0;1;1;1;4;0;1;27;0;1;0;1;0;8;41;2;0
90572;1;0;0;1;1;4;1;1;31;10;1;0;0;0;2;47;2;0
90596;1;0;1;2;1;1;1;1;47;20;1;0;0;0;3;25;2;0
90950;1;0;0;0;1;1;1;1;55;3;1;1;1;0;11;18;3;0
91076;0;0;0;0;1;3;0;1;31;0;1;1;1;0;5;6;5;0
91379;0;0;0;1;1;1;1;1;44;3;1;0;0;0;4;20;3;0
91559;1;1;0;0;1;4;1;1;40;4;1;1;0;0;3;38;3;0
92140;1;0;1;0;2;1;1;1;51;8;1;0;0;0;5;14;5;0
92520;1;0;1;1;1;4;2;1;38;8;1;0;0;1;8;25;2;0
93026;1;0;1;1;1;1;0;1;42;6;1;0;1;0;12;0;5;0
93192;1;0;1;0;1;1;4;1;39;2;1;0;1;0;0;0;5;0
93437;0;1;0;0;1;1;0;1;44;1;1;0;0;0;2;15;5;0
93779;1;1;0;2;1;3;1;1;26;2;1;1;1;0;3;4;4;0
94139;0;1;1;1;2;1;1;1;49;1;1;0;1;1;3;39;3;0
94165;1;0;1;1;3;4;0;1;28;2;1;0;0;0;0;13;5;0
94765;0;0;1;0;1;3;0;1;31;0;1;0;0;1;9;0;2;0
94928;0;0;0;0;1;1;2;0;41;4;1;0;0;0;2;34;2;0
94945;0;1;1;1;1;1;1;1;44;2;1;1;1;0;4;36;5;0
94990;1;0;1;0;1;1;1;1;51;22;1;0;0;0;0;13;5;0
95722;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;31;5;0
95924;1;0;1;0;2;1;1;1;51;8;1;0;0;0;5;16;5;0
96156;0;0;1;0;2;1;1;1;30;9;1;0;0;0;5;0;5;0
96350;0;0;1;0;1;4;1;1;55;1;1;0;0;0;16;24;5;0
96365;1;1;1;0;1;1;1;1;51;2;1;1;1;0;15;37;5;0
96601;1;1;0;0;1;4;1;1;40;4;1;1;0;0;3;37;2;0
96645;1;0;0;0;1;1;1;1;52;9;1;1;0;0;2;37;3;0
96855;0;1;1;2;2;4;1;1;48;11;1;1;1;0;0;43;5;0
96987;1;0;1;0;1;4;0;1;28;2;1;0;0;0;9;18;2;0
